Folder Name,Char Name
0, া
1, ি
2, ী
3, ু
4, ূ
5, ৃ
6, ে
7, ৈ
8, ো
9, ৌ
10, অ
11, আ
12, ই
13, ঈ
14, উ
15, ঊ
16, ঋ
17, এ
18, ঐ
19, ও
20, ঔ
21, ক
22, খ
23, গ
24, ঘ
25, ঙ
26, চ
27, ছ
28, জ
29, ঝ
30, ঞ
31, ট
32, ঠ
33, ড
34, ঢ
35, ণ
36, ত
37, থ
38, দ
39, ধ
40, ন
41, প
42, ফ
43, ব
44, ভ
45, ম
46, য
47, র
48, ল
49, শ
50, ষ
51, স
52, হ
53, ড়
54, ঢ়
55, য়
56, ৎ
57, ং
58, ঃ
59, ঁ
60,ব্দ
61,ঙ্গ
62,স্ক
63,স্ফ
64,চ্ছ
65,স্থ
66,ক্ত
67,স্ন
68,ষ্ণ
69,ম্প
70,প্ত
71,ম্ব
72,ত্থ
73,দ্ভ
74,ষ্ঠ
75,ল্প
76,ষ্প
77,ন্দ
78,ন্ধ
79,স্ম
80,ণ্ঠ
81,স্ত
82,ষ্ট
83,ন্ম                   
84,ত্ত
85,ঙ্খ
86,ত্ন
87,ন্ড
88,জ্ঞ
89,ড্ড
90,ক্ষ
91,দ্ব
92,চ্চ
93,ক্র
94,দ্দ
95,জ্জ
96,ক্ক
97,ন্ত
98,ক্ট
99,ঞ্চ
100,ট্ট
101,শ্চ
102,ক্স
103,জ্ব
104,ঞ্জ
105,দ্ধ
106,ন্ন
107,ঘ্ন
108,ক্ল
109,হ্ন
110,স্প
111,ল্ত
112,০
113,১
114,২
115,৩
116,৪
117,৫
118,৬
119,৭
120,৮
121,৯